family_id,resumen,piezas_usadas,origen,revisar
stai_0,Cuestionario de autoinforme · 40 ítems · Likert de 4 puntos · 2 dimensiones,4,regla,0
bai_1,Cuestionario de autoinforme · 21 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
gad-7_2,Cuestionario de autoinforme · 7 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
isra_3,Cuestionario de autoinforme · 22 respuestas ante 22 situaciones · Likert de 5 puntos · Triple sistema de respuesta y,4,regla,0
hads_4,Cuestionario de autoinforme · 14 ítems · Likert de 4 puntos · 2 dimensiones,4,regla,0
dass-21_5,Cuestionario de autoinforme · 21 ítems · Likert de 4 puntos · 3 dimensiones,4,regla,0
pss_6,Cuestionario de autoinforme · 10 ítems · Likert de 5 puntos · 2 dimensiones,4,regla,0
tics_8,Cuestionario de autoinforme · 57 ítems · Likert de 5 puntos · 9 dimensiones,4,regla,0
pcl-5_9,Autoinforme · 20 ítems · Escala de 5 puntos · 5-10 min · Papel y lápiz o digital,5,regla,0
caps-5_10,Entrevista estructurada clínica · 30 ítems · Entrevista. El clínico puntúa cada · 4 dimensiones · 45–60 min · Entrevista clínica estructurad,6,regla,0
ies-r_11,"Cuestionario de autoinforme · 22 ítems · Likert de 5 puntos · 3 dimensiones · 5 min · Autoadministrado, aproximadame",6,regla,0
dts_12,Cuestionario de autoinforme · 17 ítems · Likert de 5 puntos · 3 dimensiones,4,regla,0
bdi-ii_13,Cuestionario de autoinforme · 21 ítems · Likert de 4 puntos · 2 dimensiones,4,regla,0
phq-9_14,Cuestionario de autoinforme · 9 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
ces-d_15,Cuestionario de autoinforme · 20 ítems · Likert de 4 puntos · 4 dimensiones,4,regla,0
shaps_16,Cuestionario de autoinforme · 14 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
hdrs_17,Entrevista heteroaplicada · 17 ítems · Evaluación clínica escalada. · Generalmente unidimensional · Entrevista clínica heteroaplic,5,regla,0
y-bocs_18,Heteroaplicada — clínico · 10 ítems · Escala de 5 puntos · Entrevista clínica estructurad,4,regla,0
oci-r_19,Cuestionario de autoinforme · 18 ítems · Likert de 5 puntos · 6 dimensiones,4,regla,0
pi-wsur_20,Cuestionario de autoinforme · 39 ítems · Likert de 5 puntos · 5 dimensiones,4,regla,0
docs_21,Cuestionario de autoinforme · 20 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
phq-15_22,Cuestionario de autoinforme · 15 ítems · Likert de 3 puntos · Unidimensional,4,regla,0
wi-7_23,Cuestionario de autoinforme · 14 ítems · Dicotómica (Sí/No) · 3 dimensiones,4,regla,0
shai_24,Cuestionario de autoinforme · 18 ítems · Selección múltiple progresiva · 2 dimensiones · No promover como protocolo SHA,5,regla,0
scl-90-r_25,Cuestionario de autoinforme · 12 ítems · Likert de 5 puntos · 9 dimensiones,4,regla,0
bis-11_26,Autoinforme · 30 ítems · Escala de 4 puntos · 10-30 min · Papel y lápiz o entrevista est,5,regla,0
upps-p_27,Cuestionario de autoinforme · 20 ítems · Likert de 4 puntos · 5 dimensiones,4,regla,0
dii_28,Cuestionario de autoinforme · 23 ítems · Dicotómica (Sí/No) · 2 dimensiones,4,regla,0
aq_29,Cuestionario de autoinforme · 29 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
staxi-2_30,Cuestionario de autoinforme · 49 ítems · Likert de 4 puntos · 3 dimensiones,4,regla,0
rpq_31,Cuestionario de autoinforme · 23 ítems · Likert de 3 puntos · 2 dimensiones,4,regla,0
pcl-r_32,Entrevista semiestructurada y · 20 ítems · Escala de 3 puntos · 2 dimensiones,4,regla,0
srp-iv_33,Cuestionario de autoinforme · 64 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
scid-5-pd_34,"Entrevista clínica estructurada · Evaluación de los 7 criterios A del DSM-5, más criterios B y C · Valoración clínica de criterios · 1 constructo",4,regla,0
cbcl_35,Cuestionario heteroaplicado · 35 ítems · Likert de 3 puntos · 2 dimensiones,4,regla,0
sdq_36,Cuestionario autoinforme y · 25 ítems · Likert de 3 puntos · 5 dimensiones · Informante adulto,5,regla,0
dbd_37,Cuestionario heteroaplicado · 45 ítems · Likert de 4 puntos · 3 constructos DSM · Informante adulto,5,regla,0
assist_38,Cuestionario · 8 ítems · Escala Likert sobre frecuencia de · Evalúa cada tipo de sustancia · Entrevista estructurada,5,regla,0
audit_39,Cuestionario de autoinforme · 10 ítems · Escala Likert de · 3 dimensiones,4,regla,0
dast-10_40,Cuestionario de autoinforme · 10 ítems · Dicotómica (Sí/No) · Unidimensional · Autoinforme/entrevista breve,5,regla,0
iat_41,Cuestionario de autoinforme · 20 ítems · Likert de 5 puntos · 6 dimensiones,4,regla,0
sogs_42,Cuestionario de autoinforme · 20 ítems · Dicotómica (Sí/No) · Unidimensional · Autoinforme/entrevista breve,5,regla,0
pdi-21_43,Cuestionario de autoinforme · 21 ítems · Likert de 5 puntos · 3 dimensiones,4,regla,0
cape-42_44,Cuestionario de autoinforme · 42 ítems · Escala Likert doble: evalúa · 3 dimensiones,4,regla,0
panss_45,Entrevista clínica estructurada · 30 ítems · Likert de 7 puntos · 3 dimensiones · Entrevista y observación clíni,5,regla,0
c-ssrs_46,Entrevista estructurada clínica o · 10 ítems · Dicotómica (Sí/No) · 2 áreas primarias · Entrevista estructurada por pe,5,regla,0
bss_47,21 ítems · Likert de 3 puntos · Unidimensional,3,regla,0
isas_48,Autoinforme · Sección I: 7 preguntas sobre historia y características de la autolesión. Sección II: 39 afirmaciones sobre funciones · Escala de 3 puntos · Papel y lápiz o digital,4,regla,0
hcr-20_v3_49,Protocolo de juicio clínico · 20 ítems · Calificación forense de riesgo · 3 dimensiones,4,regla,0
jvq_50,Cuestionario · 34 ítems · Dicotómica (Sí/No) · 5 dimensiones · Entrevista estructurada/autoin,5,regla,0
rrs_51,Cuestionario de autoinforme · 22 ítems · Likert de 4 puntos · 2 dimensiones,4,regla,0
pswq_52,Cuestionario de autoinforme · 16 ítems · Likert de 5 puntos · Unidimensional · No promover hasta reemplazar p,5,regla,0
ius-12_53,Cuestionario de autoinforme · 12 ítems · Likert de 5 puntos · 2 dimensiones,4,regla,0
aaq-ii_54,Cuestionario de autoinforme · 7 ítems · Likert de 7 puntos · Unidimensional,4,regla,0
cfi_55,Cuestionario de autoinforme · 20 ítems · Likert de 7 puntos · 2 dimensiones,4,regla,0
cfq_56,7 ítems · Likert de 7 puntos,2,regla,0
mcq-30_57,Cuestionario de autoinforme · 30 ítems · Likert de 4 puntos · 5 dimensiones,4,regla,0
ysq-s3_58,Cuestionario de autoinforme · 90 ítems · Likert de 6 puntos · 5 dimensiones,4,regla,0
ders_59,Cuestionario de autoinforme · 37 ítems · Likert de 5 puntos · 6 dimensiones · No promover como DERS validada,5,regla,0
cerq_60,Cuestionario de autoinforme · 36 ítems · Likert de 5 puntos · 9 estrategias cognitivas,4,regla,0
leas_61,Prueba de ejecución/rendimiento · 20 escenarios cortos interpersonales · Respuesta abierta · Unidimensional,4,regla,0
tas-20_62,Cuestionario de autoinforme · 20 ítems · Likert de 5 puntos · 3 dimensiones,4,regla,0
