eje_codigo,eje_numero,eje_nombre,total_instrumentos,id_test,sigla_test,nombre_test,constructo,tema,tipo_instrumento,acceso,protocolo_disponible
Eje I,1,"Problemas, síntomas y riesgo",109,stai_0,STAI,Inventario de Ansiedad Estado-Rasgo,Ansiedad y miedo,Ansiedad y fobia,Autoinforme,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bai_1,BAI,Inventario de Ansiedad de Beck,Ansiedad y miedo,Ansiedad y fobia,Autoinforme,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,gad-7_2,GAD-7,Escala de Trastorno de Ansiedad Generalizada - 7,Ansiedad y miedo,Ansiedad y fobia,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,isra_3,ISRA,Inventario de Situaciones y Respuestas de Ansiedad,Ansiedad y miedo,Ansiedad y fobia,Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,hads_4,HADS,Escala de Ansiedad y Depresión Hospitalaria,Ansiedad y miedo,Ansiedad y fobia,Autoinforme,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dass-21_5,DASS-21,"Escalas de Depresión, Ansiedad y Estrés - 21","Depresión, ansiedad y estrés",Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,pss_6,PSS,Escala de Estrés Percibido,Estrés psicológico,Estrés y estrés percibido,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,tics_8,TICS,Inventario de Estrés Crónico de Trier,Estrés psicológico,Estrés y estrés percibido,Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,pcl-5_9,PCL-5,Lista de Chequeo del TEPT para el DSM-5,Trauma y estrés postraumático,Trauma y estrés postraumático,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,caps-5_10,CAPS-5,Escala Administrada por Clínico para el TEPT,Trauma y estrés postraumático,Trauma y estrés postraumático,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ies-r_11,IES-R,Escala de Impacto del Evento Revisada,Trauma y estrés postraumático,Trauma y estrés postraumático,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dts_12,DTS,Escala de Trauma de Davidson,Trauma y estrés postraumático,Trauma y estrés postraumático,Autoinforme,comercial,SI
