id,sigla,nombre_espanol,nombre_original,autores_originales,adaptacion_hispana,eje_codigo,eje_numero,eje_nombre,constructo,tema_principal,temas_secundarios,sinonimos_busqueda,tipo_instrumento_categoria,tipo_instrumento_detalle,funcion_clinica_categoria,poblacion,franjas_etarias,tiempo_administracion,formato_respuesta,acceso_categoria,regimen_licencia,protocolo_disponible,carpeta_relativa,archivo_ficha_tecnica,archivo_protocolo,resumen_clinico
stai_0,STAI,Inventario de Ansiedad Estado-Rasgo,State-Trait Anxiety Inventory (STAI - Forma X / Forma Y),"Charles D. Spielberger, Richard L. Gorsuch y Robert E. Lushene (1970, 1983)","Nicolás Seisdedos Cubero (TEA Ediciones, 1982, 2002); G. Buela-Casal et al. (2011)",Eje I,1,"Problemas, síntomas y riesgo",Ansiedad y miedo,Ansiedad y fobia,,TAG; fobia social; crisis de angustia; pánico; agorafobia,Autoinforme,Autoinforme estructurado con 2 subescalas independientes de 20 ítems en escala Likert de 4 puntos,Diagnóstico y severidad,Adolescentes y adultos,adolescentes; adultos,12 a 18 minutos (40 ítems en total; aprox. 7 minutos por subescala),Escala de respuesta estructurada psicométrica,comercial,"No (Sujeto a copyright, TEA Ediciones en España/Latam). Existen versiones de investigación.",SI,Eje I/STAI,STAI_ficha_tecnica.pdf,STAI_protocolo.pdf,Cuestionario de autoinforme · 40 ítems · Likert de 4 puntos · 2 dimensiones
bai_1,BAI,Inventario de Ansiedad de Beck,_Beck Anxiety Inventory (BAI)_,"Drs. Aaron T. Beck, Norman Epstein, Gary Brown y Robert A. Steer (1988).","Sanz & Navarro (2003); Sanz, Navarro & Vázquez (2003); Sanz (2011).",Eje I,1,"Problemas, síntomas y riesgo",Ansiedad y miedo,Ansiedad y fobia,,TAG; fobia social; crisis de angustia; pánico; agorafobia,Autoinforme,Autoinforme de 21 reactivos con escala Likert de 4 puntos (0 a 3).,Diagnóstico y severidad,Adultos y adolescentes (>13 años),adolescentes; adultos,5 a 10 minutos en autoadministración.,Escala de respuesta estructurada psicométrica,comercial,No (Copyright de Pearson). Usado ampliamente en investigación con permisos.,SI,Eje I/BAI,BAI_ficha_tecnica.pdf,BAI_protocolo.pdf,Cuestionario de autoinforme · 21 ítems · Likert de 4 puntos · Unidimensional
gad-7_2,GAD-7,Escala de Trastorno de Ansiedad Generalizada - 7,_Generalized Anxiety Disorder 7-item scale (GAD-7)_,"Drs. Robert L. Spitzer, Kurt Kroenke, Janet B. W. Williams y Bernd Löwe (2006).",García-Campayo et al. (2010); validado también por Pedrero-Pérez et al. (2012).,Eje I,1,"Problemas, síntomas y riesgo",Ansiedad y miedo,Ansiedad y fobia,,TAG; fobia social; crisis de angustia; pánico; agorafobia,Autoinforme,Autoinforme escalar breve de 7 reactivos (0 a 3) + 1 ítem de impacto en el funcionamiento cotidiano.,Cribado / Triaje rápido,Adolescentes y adultos,adolescentes; adultos,1 a 2 minutos en autoadministración; muy ágil para triaje clínico.,Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público),SI,Eje I/GAD-7,GAD-7_ficha_tecnica.pdf,GAD-7_protocolo.pdf,Cuestionario de autoinforme · 7 ítems · Likert de 4 puntos · Unidimensional
isra_3,ISRA,Inventario de Situaciones y Respuestas de Ansiedad,Inventario de Situaciones y Respuestas de Ansiedad (ISRA),"Juan José Miguel-Tobal y Antonio Cano-Vindel (1986, 1988, 1994, 2002)",Adaptación y baremación en población hispanohablante,Eje I,1,"Problemas, síntomas y riesgo",Ansiedad y miedo,Ansiedad y fobia,,TAG; fobia social; crisis de angustia; pánico; agorafobia,Autoinforme,Autoinforme psicométrico multidimensional e interactivo (formato S-R),Diagnóstico y severidad,Adolescentes (>16 años) y adultos,adolescentes; adultos,Forma completa: 30 a 50 minutos; Forma abreviada ISRA-B: 15 minutos,Matriz interactiva Situación x Respuesta con escala de frecuencia 0 (Casi nunca) a 4 (Casi siempre),comercial,No (TEA Ediciones),NO,Eje I/ISRA,ISRA_ficha_tecnica.pdf,,Cuestionario de autoinforme · 22 respuestas ante 22 situaciones · Likert de 5 puntos · Triple sistema de respuesta y
hads_4,HADS,Escala de Ansiedad y Depresión Hospitalaria,Hospital Anxiety and Depression Scale (HADS / HAD),R. P. Snaith y A. S. Zigmond (1983),Adaptación y baremación en población hispanohablante,Eje I,1,"Problemas, síntomas y riesgo",Ansiedad y miedo,Ansiedad y fobia,,TAG; fobia social; crisis de angustia; pánico; agorafobia,Autoinforme,Autoinforme psicométrico de cribado bidimensional breve,Cribado / Triaje rápido,"Adultos (originalmente en contexto hospitalario/médico, luego general)",adultos,4 a 6 minutos (14 reactivos tipo Likert de 4 opciones),Escala de 4 categorías ordinales: 0 a 3 puntos por ítem,comercial,"No estricto (tiene copyright de GL Assessment), pero ampliamente reproducido en literatura de acceso abierto para fines de investigación y uso clínico sin fines de lucro.",SI,Eje I/HADS,HADS_ficha_tecnica.pdf,HADS_protocolo.pdf,Cuestionario de autoinforme · 14 ítems · Likert de 4 puntos · 2 dimensiones
dass-21_5,DASS-21,"Escalas de Depresión, Ansiedad y Estrés - 21","_Depression Anxiety Stress Scales (DASS-42)_ (Lovibond & Lovibond, 1995).","Drs. Sydney H. Lovibond y Peter F. Lovibond, Universidad de Nueva Gales del Sur (UNSW), Australia.",Adaptación y baremación en población hispanohablante,Eje I,1,"Problemas, síntomas y riesgo","Depresión, ansiedad y estrés",Depresión y estado de ánimo,Ansiedad y fobia; Estrés y estrés percibido,depresión mayor; distimia; afecto negativo; anhedonia; ánimo bajo; TAG; fobia social; crisis de angustia; pánico; agorafobia; estrés; estrés percibido; tensión; sobrecarga; estrés crónico,Autoinforme,Cuestionario de autoinforme estructurado de 42 ítems con escala Likert de severidad/frecuencia.,Diagnóstico y severidad,Adultos y adolescentes,adolescentes; adultos,8 a 12 minutos (autoadministrado o aplicado en entrevista clínica guiada).,Escala de respuesta estructurada psicométrica,abierto,"Sí (Dominio público, disponible en la web de la Universidad de New South Wales)",SI,Eje I/DASS-21,DASS-21_ficha_tecnica.pdf,DASS-21_protocolo.pdf,Cuestionario de autoinforme · 21 ítems · Likert de 4 puntos · 3 dimensiones
pss_6,PSS,Escala de Estrés Percibido,_Perceived Stress Scale - 10 Item Version (PSS-10)_,"Sheldon Cohen, Tom Kamarck y Robin Mermelstein (1983); Cohen y Williamson (1988).","Remor (2006, validación europea de referencia); González y Landero (2007, México); Campo-Arias et al. (2009).",Eje I,1,"Problemas, síntomas y riesgo",Estrés psicológico,Estrés y estrés percibido,Trauma y estrés postraumático; Afrontamiento y resiliencia,estrés; estrés percibido; tensión; sobrecarga; estrés crónico; TEPT; trauma complejo; estrés agudo; disociación; coping; resiliencia; tolerancia a la frustración; adaptación,Autoinforme,Escala de autoinforme de 10 reactivos politómicos de 5 anclajes (0 = Nunca a 4 = Muy a menudo).,Cribado / Triaje rápido,Adolescentes y adultos,adolescentes; adultos,3 a 5 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público para fines académicos y no comerciales),SI,Eje I/PSS,PSS_ficha_tecnica.pdf,PSS_protocolo.pdf,Cuestionario de autoinforme · 10 ítems · Likert de 5 puntos · 2 dimensiones
tics_8,TICS,Inventario de Estrés Crónico de Trier,Trierer Inventar zum chronischen Stress (TICS / Trier Inventory for Chronic Stress),"Petra Schulz, Walter Schlotz y Peter Becker (1999, 2004)",Versión adaptada al español para medicina conductual y laboral (Hogrefe / CIBERSAM),Eje I,1,"Problemas, síntomas y riesgo",Estrés psicológico,Estrés y estrés percibido,Trauma y estrés postraumático; Afrontamiento y resiliencia,estrés; estrés percibido; tensión; sobrecarga; estrés crónico; TEPT; trauma complejo; estrés agudo; disociación; coping; resiliencia; tolerancia a la frustración; adaptación,Autoinforme,Autoinforme estructurado con escala ordinal Likert de 5 puntos (0 = Nunca a 4 = Muy a menudo),Diagnóstico y severidad,Adultos,adultos,10 a 15 minutos (versión estándar de 57 ítems) o 3 a 5 min (escala de cribado SSCS de 12 ítems),Escala de respuesta estructurada psicométrica,comercial,No (Hogrefe),NO,Eje I/TICS,TICS_ficha_tecnica.pdf,,Cuestionario de autoinforme · 57 ítems · Likert de 5 puntos · 9 dimensiones
pcl-5_9,PCL-5,Lista de Chequeo del TEPT para el DSM-5,_Posttraumatic Stress Disorder Checklist for DSM-5 (PCL-5)_,"Drs. Frank W. Weathers, Brett T. Litz, Terence M. Keane, Patrick A. Palmieri, Brian P. Marx y Paula P. Schnurr (2013), National Center for PTSD.",Miles et al. (2015); Cova et al. (2017); Carvajal et al. (2017).,Eje I,1,"Problemas, síntomas y riesgo",Trauma y estrés postraumático,Trauma y estrés postraumático,,TEPT; trauma complejo; estrés agudo; disociación,Autoinforme,Autoinforme estructurado de 20 reactivos tipo Likert (0 a 4) referidos a un acontecimiento traumático índice.,Diagnóstico y severidad,Adultos,adultos,5 a 10 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público gubernamental de EE.UU. a través del National Center for PTSD),SI,Eje I/PCL-5,PCL-5_ficha_tecnica.pdf,PCL-5_protocolo.pdf,Autoinforme · 20 ítems · Escala de 5 puntos · 5-10 min · Papel y lápiz o digital
caps-5_10,CAPS-5,Escala Administrada por Clínico para el TEPT,Escala para el Trastorno de Estrés Postraumático Administrada por el Clínico para DSM-5 (CAPS-5),"Frank W. Weathers, D. D. Blake, P. P. Schnurr, D. G. Kaloupek, B. P. Marx & T. M. Keane (2013, 2018)",Adaptación y baremación en población hispanohablante,Eje I,1,"Problemas, síntomas y riesgo",Trauma y estrés postraumático,Trauma y estrés postraumático,,TEPT; trauma complejo; estrés agudo; disociación,Heteroaplicado / Entrevista clínica,30 ítems semiestructurados: criterios A a G del DSM-5 más especificación del subtipo disociativo,Diagnóstico y severidad,Adultos,adultos,45 a 60 minutos (entrevista clínica estructurada integral conducida por profesional cualificado),Escala de respuesta estructurada psicométrica,abierto,Sí (Requiere registro y credenciales clínicas para descarga en el NCPTSD),SI,Eje I/CAPS-5,CAPS-5_ficha_tecnica.pdf,CAPS-5_protocolo.pdf,Entrevista estructurada clínica · 30 ítems · Entrevista. El clínico puntúa cada · 4 dimensiones · 45–60 min · Entrevista clínica estructurad
