acceso_categoria,total_instrumentos,protocolos_disponibles,id_test,sigla_test,nombre_test,eje_test,constructo,protocolo_disponible,regimen_licencia
abierto,163,147,gad-7_2,GAD-7,Escala de Trastorno de Ansiedad Generalizada - 7,Eje I,Ansiedad y miedo,SI,Sí (Dominio público)
abierto,163,147,dass-21_5,DASS-21,"Escalas de Depresión, Ansiedad y Estrés - 21",Eje I,"Depresión, ansiedad y estrés",SI,"Sí (Dominio público, disponible en la web de la Universidad de New South Wales)"
abierto,163,147,pss_6,PSS,Escala de Estrés Percibido,Eje I,Estrés psicológico,SI,Sí (Dominio público para fines académicos y no comerciales)
abierto,163,147,pcl-5_9,PCL-5,Lista de Chequeo del TEPT para el DSM-5,Eje I,Trauma y estrés postraumático,SI,Sí (Dominio público gubernamental de EE.UU. a través del National Center for PTSD)
abierto,163,147,caps-5_10,CAPS-5,Escala Administrada por Clínico para el TEPT,Eje I,Trauma y estrés postraumático,SI,Sí (Requiere registro y credenciales clínicas para descarga en el NCPTSD)
abierto,163,147,ies-r_11,IES-R,Escala de Impacto del Evento Revisada,Eje I,Trauma y estrés postraumático,SI,Sí
abierto,163,147,phq-9_14,PHQ-9,Cuestionario de Salud del Paciente - 9,Eje I,Depresión y anhedonia,SI,Sí (Dominio público)
abierto,163,147,ces-d_15,CES-D,Escala del Centro de Estudios Epidemiológicos de la Depresión,Eje I,Depresión y anhedonia,SI,Sí (Dominio público)
abierto,163,147,shaps_16,SHAPS,Escala de Placer de Snaith-Hamilton,Eje I,Depresión y anhedonia,SI,Sí
abierto,163,147,hdrs_17,HDRS / HAM-D,Escala de Calificación de la Depresión de Hamilton,Eje I,Depresión y anhedonia,SI,Sí (Dominio público la versión original de 17 ítems)
abierto,163,147,y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Eje I,Obsesiones y compulsiones,SI,Sí (Dominio público para uso no comercial)
abierto,163,147,oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,Eje I,Obsesiones y compulsiones,SI,Sí (en anexos de publicaciones originales)
abierto,163,147,docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,Eje I,Obsesiones y compulsiones,SI,Sí (Disponible por los autores)
abierto,163,147,phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,Eje I,Somatización y ansiedad por la salud,SI,Sí (Dominio público)
abierto,163,147,wi-7_23,WI,Índice de Whiteley,Eje I,Somatización y ansiedad por la salud,SI,"Sí — adaptación española de 14 ítems (Pilowsky 1967 / Avia 1993), verificada contra 2 fuentes clínicas independientes coincidentes."
abierto,163,147,shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,Eje I,Somatización y ansiedad por la salud,SI,Sí (Uso académico)
abierto,163,147,bis-11_26,BIS-11,Escala de Impulsividad de Barratt,Eje I,Impulsividad,SI,Sí (Uso de investigación)
abierto,163,147,upps-p_27,UPPS-P,Escala de Comportamiento Impulsivo UPPS-P,Eje I,Impulsividad,SI,"Sí (Dominio público, UPPS website)"
abierto,163,147,dii_28,DII,Inventario de Impulsividad de Dickman,Eje I,Impulsividad,SI,Sí (Revistas científicas)
abierto,163,147,aq_29,AQ,Cuestionario de Agresión,Eje I,Agresividad e ira,SI,Sí (Uso académico libre)
abierto,163,147,rpq_31,RPQ,Cuestionario de Agresión Reactiva-Proactiva,Eje I,Agresividad e ira,SI,Sí (Uso investigativo)
abierto,163,147,sdq_36,SDQ,Cuestionario de Capacidades y Dificultades,Eje I,Conducta disruptiva,SI,Sí
abierto,163,147,dbd_37,DBD,Escala de Trastornos de Comportamiento Perturbador,Eje I,Conducta disruptiva,SI,Sí (Dominio público)
abierto,163,147,assist_38,ASSIST,"Prueba de Detección de Consumo de Alcohol, Tabaco y Sustancias",Eje I,Uso problemático de sustancias,SI,"Sí (Dominio público, OMS)"
abierto,163,147,audit_39,AUDIT,Prueba de Identificación de Trastornos Relacionados con el Alcohol,Eje I,Uso problemático de sustancias,SI,Sí
abierto,163,147,dast-10_40,DAST-10,Prueba de Detección de Abuso de Drogas,Eje I,Uso problemático de sustancias,SI,Sí
abierto,163,147,iat_41,IAT,Test de Adicción a Internet,Eje I,Adicciones conductuales,SI,Sí
abierto,163,147,sogs_42,SOGS,Prueba de Detección de Juego Patológico de South Oaks,Eje I,Adicciones conductuales,SI,Sí
abierto,163,147,pdi-21_43,PDI-21,Inventario de Delirios de Peters,Eje I,Ideación delirante,SI,Sí
abierto,163,147,cape-42_44,CAPE-42,Evaluación Comunitaria de Experiencias Psíquicas,Eje I,Experiencias perceptivas inusuales,SI,Sí
abierto,163,147,c-ssrs_46,C-SSRS,Escala Columbia para Evaluar el Riesgo de Suicidio,Eje I,Ideación y Conducta suicida,SI,Sí
abierto,163,147,isas_48,ISAS,Inventario de Declaraciones sobre Autolesiones,Eje I,Autolesiones no suicidas,SI,Sí
abierto,163,147,jvq_50,JVQ,Cuestionario de Victimización Juvenil,Eje I,Vulnerabilidad y victimización,SI,Sí
abierto,163,147,rrs_51,RRS,Escala de Respuestas Rumiativas,Eje II,Rumiación,SI,Sí
abierto,163,147,pswq_52,PSWQ,Cuestionario de Preocupación del Estado de Pensilvania,Eje II,Preocupación crónica,SI,Sí
abierto,163,147,ius-12_53,IUS-12,Escala de Intolerancia a la Incertidumbre,Eje II,Intolerancia a la incertidumbre,SI,Sí
abierto,163,147,aaq-ii_54,AAQ-II,Cuestionario de Aceptación y Acción II,Eje II,Rigidez y Flexibilidad cognitiva,SI,Sí
abierto,163,147,cfi_55,CFI,Inventario de Flexibilidad Cognitiva,Eje II,Rigidez y Flexibilidad cognitiva,SI,Sí
abierto,163,147,cfq_56,CFQ,Cuestionario de Fusión Cognitiva,Eje II,Fusión cognitiva,SI,Sí
abierto,163,147,mcq-30_57,MCQ-30,Cuestionario de Metacogniciones,Eje II,Metacogniciones disfuncionales,SI,Sí
abierto,163,147,ysq-s3_58,YSQ-S3,Cuestionario de Esquemas de Young,Eje II,Esquemas maladaptativos,NO,Sí (Versión de investigación)
abierto,163,147,ders_59,DERS,Escala de Dificultades en la Regulación Emocional,Eje II,Regulación y Desregulación emocional,SI,Sí
abierto,163,147,cerq_60,CERQ,Cuestionario de Regulación Cognitiva de las Emociones,Eje II,Regulación y Desregulación emocional,SI,Sí
abierto,163,147,leas_61,LEAS,Escala de Niveles de Conciencia Emocional,Eje II,Conciencia emocional,SI,Sí (Manual disponible para investigación)
abierto,163,147,tas-20_62,TAS-20,Escala de Alexitimia de Toronto,Eje II,Claridad emocional y Alexitimia,NO,Sí
abierto,163,147,meaq_63,MEAQ,Cuestionario Multidimensional de Evitación Experiencial,Eje II,Evitación experiencial,NO,Sí
abierto,163,147,bads_64,BADS,Escala de Activación Conductual para la Depresión,Eje II,Activación y Evitación conductual,SI,Sí
abierto,163,147,eros_65,EROS,Escala de Observación de Recompensas Ambientales,Eje II,Activación y Evitación conductual,SI,Sí
abierto,163,147,brief_cope_66,Brief COPE,Inventario Breve de Afrontamiento,Eje II,Exposición y afrontamiento,SI,Sí
abierto,163,147,bis_68,BIS/BAS,Escalas del Sistema de Inhibición y Aproximación Conductual,Eje II,Búsqueda de recompensa,SI,Sí
abierto,163,147,ecr-r_69,ECR-R,Experiencias en Relaciones Cercanas - Revisado,Eje II,Apego,SI,Sí
abierto,163,147,idi_70,IDI,Inventario de Dependencia Interpersonal,Eje II,Dependencia interpersonal,NO,Sí
abierto,163,147,rsq_71,RSQ,Cuestionario de Sensibilidad al Rechazo,Eje II,Sensibilidad al rechazo,NO,Sí
abierto,163,147,iip-32_72,IIP-32,Inventario de Problemas Interpersonales (Versión Breve),Eje II,Comunicación interpersonal y Asertividad,NO,Sí
abierto,163,147,ras_73,RAS,Escala de Asertividad de Rathus,Eje II,Comunicación interpersonal y Asertividad,NO,Sí
abierto,163,147,ucla-r_74,UCLA-R,Escala de Soledad de UCLA Revisada,Eje II,Soledad y aislamiento social,SI,Sí
abierto,163,147,djgls_75,DJGLS,Escala de Soledad de De Jong Gierveld,Eje II,Soledad y aislamiento social,SI,Sí
abierto,163,147,bfi-2_77,BFI-2,Inventario de los Cinco Grandes 2,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",SI,Sí
