funcion_clinica,total_instrumentos,id_test,sigla_test,nombre_test,eje_test,constructo,tipo_instrumento,acceso
Cribado / Triaje rápido,25,gad-7_2,GAD-7,Escala de Trastorno de Ansiedad Generalizada - 7,Eje I,Ansiedad y miedo,Autoinforme,abierto
Cribado / Triaje rápido,25,hads_4,HADS,Escala de Ansiedad y Depresión Hospitalaria,Eje I,Ansiedad y miedo,Autoinforme,comercial
Cribado / Triaje rápido,25,pss_6,PSS,Escala de Estrés Percibido,Eje I,Estrés psicológico,Autoinforme,abierto
Cribado / Triaje rápido,25,phq-9_14,PHQ-9,Cuestionario de Salud del Paciente - 9,Eje I,Depresión y anhedonia,Autoinforme,abierto
Cribado / Triaje rápido,25,assist_38,ASSIST,"Prueba de Detección de Consumo de Alcohol, Tabaco y Sustancias",Eje I,Uso problemático de sustancias,Heteroaplicado / Entrevista clínica,abierto
Cribado / Triaje rápido,25,audit_39,AUDIT,Prueba de Identificación de Trastornos Relacionados con el Alcohol,Eje I,Uso problemático de sustancias,Heteroaplicado / Entrevista clínica,abierto
Cribado / Triaje rápido,25,dast-10_40,DAST-10,Prueba de Detección de Abuso de Drogas,Eje I,Uso problemático de sustancias,Heteroaplicado / Entrevista clínica,abierto
Cribado / Triaje rápido,25,c-ssrs_46,C-SSRS,Escala Columbia para Evaluar el Riesgo de Suicidio,Eje I,Ideación y Conducta suicida,Heteroaplicado / Entrevista clínica,abierto
Cribado / Triaje rápido,25,mmse_119,MMSE,Mini-Examen del Estado Cognitivo,Eje V,Cribado Cognitivo Global (Estado Mental),Heteroaplicado / Entrevista clínica,comercial
Cribado / Triaje rápido,25,moca_120,MoCA,Evaluación Cognitiva de Montreal,Eje V,Cribado Cognitivo Global (Estado Mental),Rendimiento neurocognitivo / Tarea de ejecución,academico
Cribado / Triaje rápido,25,ifs_129,IFS,INECO Frontal Screening,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
