tema,sinonimos,revisar
Adicciones conductuales,"juego patológico, ludopatía, uso de internet, apuestas",0
Afrontamiento y resiliencia,"coping, resiliencia, tolerancia a la frustración, adaptación",0
"Agresividad, ira y violencia","hostilidad, rabia, agresión física, conducta violenta",0
Alfabetización y conductas de salud,"adherencia terapéutica, conductas de salud, autocuidado",0
Ansiedad y fobia,"TAG, fobia social, crisis de angustia, pánico, agorafobia",0
Apego y relaciones interpersonales,"apego ansioso, apego evitativo, dependencia emocional, asertividad",0
Apoyo social y familia,"red de apoyo, funcionamiento familiar, dinámica de pareja",0
Atención y concentración,"atención sostenida, vigilancia, atención dividida, concentración",0
Autoestima y autoconcepto,"valía personal, autoeficacia, autoimagen",0
Bienestar y satisfacción vital,"florecimiento, felicidad, satisfacción vital, afecto positivo",0
Bipolaridad y manía,"Bipolar disorder, Manic episode, Manía, Psicosis maníca, Ciclotimia, Psicosis bipolar",0
Calidad de vida,"Quality of life, QoL, Calidad de vida, Vida diaria, Bienestar, Salud mental, Salud física",0
Cognición social,"Social cognition, Cognición social, Procesamiento social, Interacción social, Comunicación social, Atención social",0
Conducta alimentaria e imagen corporal,"Eating behavior, Conducta alimentaria, Imagen corporal, Autoimagen, Conducta alimentaria patológica, Anorexia, Bulimia, Disortodinia",0
Cribado cognitivo y demencias,"Cognitive screening, Cribado cognitivo, Demencia, Alzheimer, Enfermedad de Alzheimer, Deterioro cognitivo, Evaluación cognitiva, Prueba cognitiva",0
Depresión y estado de ánimo,"depresión mayor, distimia, afecto negativo, anhedonia, ánimo bajo",0
Desempeño laboral y burnout,"agotamiento laboral, engagement, estrés laboral",0
Dolor y síntomas somáticos,"somatización, fatiga crónica, fibromialgia, dolor crónico",0
Efectos de psicofármacos,"efectos secundarios, extrapiramidalismo, sedación, temblor",0
Esquemas y procesos cognitivos,"creencias centrales, distorsiones cognitivas, rumiación, preocupación",0
Flexibilidad psicológica y mindfulness,"resiliencia, atención plena, adaptabilidad, flexibilidad cognitiva, percepción positiva, mindfulness",0
Funcionamiento y discapacidad,"funcionalidad, discapacidad intelectual, discapacidad física, discapacidad psíquica, adaptabilidad, autonomía",0
Funciones ejecutivas,"control de la atención, planificación, organización, memoria de trabajo, resolución de problemas, inhibición, flexibilidad cognitiva",0
Identidad y valores,"identidad personal, valores morales, autoconcepto, autoestima, identidad social, identidad de género, valores éticos",0
Impulsividad y conducta disruptiva,"impulsividad, conducta antisocial, conducta disruptiva, trastorno de déficit de atención e hiperactividad, TDAH, conducta agresiva, conducta inadecuada",0
Lenguaje y comunicación verbal,"fluidez verbal, denominación, afasia, expresión verbal",0
Memoria y aprendizaje,"memoria de trabajo, memoria episódica, metamemoria, olvidos",0
Obsesiones y compulsiones,"TOC, dudas obsesivas, comprobación, contaminación, rituales",0
Personalidad patológica,"TLP, narcisismo, psicopatía, tríada oscura, desapego",0
Psicosis y experiencias delirantes,"esquizofrenia, síntomas positivos, delirio, alucinación",0
Rasgos de personalidad,"personalidad, rasgos de personalidad, trastorno de personalidad, personalidad antisocial, personalidad borderline",0
Regulación emocional,"regulación emocional, homeostasis emocional, estabilidad emocional, disfunción emocional, control emocional, regulación afectiva",0
Rendimiento académico,"rendimiento académico, desempeño académico, aptitud académica, rendimiento escolar, rendimiento cognitivo, rendimiento intelectual",0
Salud sexual,"salud sexual, sexualidad, salud reproductiva, sexualidad humana, salud sexual y reproductiva, salud sexual integral",0
Sueño y ritmos circadianos,"sueño, ritmos circadianos, horquillas, desajuste circadiano, insomnio, somnolencia diurna",0
Suicidio y autolesión,"ideación suicida, riesgo de suicidio, NSSI, autolesiones",0
Sustancias y alcoholismo,"consumo problemático, AUDIT, abuso de drogas, dependencia, adicción",0
Trauma y estrés postraumático,"TEPT, trauma complejo, estrés agudo, disociación",0
