constructo,tema
Abstinencia de benzodiacepinas,Sustancias y alcoholismo
Activación y Evitación conductual,Depresión y estado de ánimo
Adaptación social,Apoyo social y familia
Adicciones conductuales,Adicciones conductuales
Afecto positivo y negativo,Regulación emocional
"Afrontamiento (coping), 9 escalas clínicas",Afrontamiento y resiliencia
Agresividad e ira,"Agresividad, ira y violencia"
Agresividad manifiesta observada,"Agresividad, ira y violencia"
Alfabetización digital en salud,Alfabetización y conductas de salud
Alfabetización en salud y relación con el sistema,Alfabetización y conductas de salud
Ansiedad ante la interaccion social directa,Ansiedad y fobia
Ansiedad general (heteroaplicada),Ansiedad y fobia
Ansiedad y miedo,Ansiedad y fobia
Apego,Apego y relaciones interpersonales
Apoyo social percibido (familiar y de amistades),Apoyo social y familia
Apoyo social y Funcionamiento familiar,Apoyo social y familia
"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",Atención y concentración
Autocompasión y regulación afectiva (3 polaridades / 6 subescalas),Regulación emocional
Autoconcepto,Autoestima y autoconcepto
Autoeficacia,Autoestima y autoconcepto
Autoeficacia/autocuidado en enfermedad crónica,Alfabetización y conductas de salud
Autoestima,Autoestima y autoconcepto
Autolesiones no suicidas,Suicidio y autolesión
"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Bienestar y satisfacción vital
Búsqueda de recompensa,Impulsividad y conducta disruptiva
Calidad de vida,Calidad de vida
Calidad de vida en demencia,Cribado cognitivo y demencias
Calidad de vida en depresión,Depresión y estado de ánimo
Calidad de vida en esquizofrenia,Calidad de vida
Calidad del sueño,Sueño y ritmos circadianos
Cambio global en TEPT,Trauma y estrés postraumático
Claridad del self,Identidad y valores
Claridad emocional y Alexitimia,Regulación emocional
Cognición Social e Interocepción,Cognición social
"Comprensión, Expresión y Fluidez Verbal",Lenguaje y comunicación verbal
Comunicación interpersonal y Asertividad,Apego y relaciones interpersonales
Conciencia emocional,Regulación emocional
Conducta alimentaria,Conducta alimentaria e imagen corporal
