constructo,eje,tema_principal,total_instrumentos,id_test,sigla_test,nombre_test,tipo_instrumento,acceso
Abstinencia de benzodiacepinas,Eje VI,Sustancias y alcoholismo,1,bwsq_208,BWSQ,Benzodiazepine Withdrawal Symptom Questionnaire,Autoinforme,academico
Activación y Evitación conductual,Eje II,Depresión y estado de ánimo,2,bads_64,BADS,Escala de Activación Conductual para la Depresión,Autoinforme,abierto
Activación y Evitación conductual,Eje II,Depresión y estado de ánimo,2,eros_65,EROS,Escala de Observación de Recompensas Ambientales,Autoinforme,abierto
Adaptación social,Eje IV,Apoyo social y familia,1,sass_213,SASS,Social Adaptation Self-evaluation Scale,Autoinforme,academico
Adicciones conductuales,Eje I,Adicciones conductuales,2,iat_41,IAT,Test de Adicción a Internet,Autoinforme,abierto
Adicciones conductuales,Eje I,Adicciones conductuales,2,sogs_42,SOGS,Prueba de Detección de Juego Patológico de South Oaks,Observacional / Registro conductual,abierto
Afecto positivo y negativo,Eje II,Regulación emocional,1,panas_161,PANAS,Escala de Afecto Positivo y Negativo,Autoinforme,academico
"Afrontamiento (coping), 9 escalas clínicas",Eje II,Afrontamiento y resiliencia,1,cope48_167,COPE-48,Versión española del COPE-48 (adaptación clínica del COPE Inventory),Autoinforme,abierto
Afrontamiento interpersonal y asertividad,Eje II,Afrontamiento interpersonal y asertividad,1,iss_new,ISS,Inventario de Situaciones Sociales (ISS),Autoinforme,abierto
Agitación psicomotriz e impulsividad aguda,Eje I,Agitación psicomotriz e impulsividad aguda,1,abs_new,ABS,Escala de Comportamiento Agitado de Corrigan (ABS),Observacional / Registro conductual,abierto
Agresividad e ira,Eje I,"Agresividad, ira y violencia",3,aq_29,AQ,Cuestionario de Agresión,Autoinforme,abierto
Agresividad e ira,Eje I,"Agresividad, ira y violencia",3,staxi-2_30,STAXI-2,Inventario de Expresión de Ira Estado-Rasgo 2,Autoinforme,comercial
Agresividad e ira,Eje I,"Agresividad, ira y violencia",3,rpq_31,RPQ,Cuestionario de Agresión Reactiva-Proactiva,Autoinforme,abierto
Agresividad manifiesta observada,Eje I,"Agresividad, ira y violencia",1,oas_177,OAS,Overt Aggression Scale,Heteroaplicado / Entrevista clínica,academico
Alfabetización digital en salud,Eje VI,Alfabetización y conductas de salud,1,eheals_new1,eHEALS,eHealth Literacy Scale,Autoinforme,abierto
