termino_busqueda,total_coincidencias,siglas_coincidentes,ids_coincidentes
AAQ-II,1,AAQ-II,aaq-ii_54
ABS,1,ABS,abs_new
Abstinencia de benzodiacepinas,1,BWSQ,bwsq_208
abuso de drogas,11,ASSIST; AUDIT; DAST-10; FTND; MALT; ISCA; EuropASI; SADQ; EIDA; OCDS; BWSQ,assist_38; audit_39; dast-10_40; ftnd_new1; malt_195; isca_196; europasi_197; sadq_198; eida_199; ocds_200; bwsq_208
ACEQ,1,ACEQ,aceq_93
Activación y Evitación conductual,2,BADS; EROS,bads_64; eros_65
adaptabilidad,12,AAQ-II; CFI; CFQ; MEAQ; WHODAS 2.0; BARTHEL; Escala de Lawton; BEAQ; Psy-Flex; FFMQ-SF; EEAG-GAF; SDI,aaq-ii_54; cfi_55; cfq_56; meaq_63; whodas_2.0_100; indice_de_barth_101; escala_de_lawton_102; beaq_164; psyflex_166; ffmq-sf_168; eeaggaf_211; sdi_212
adaptación,12,PSS; TICS; Brief COPE; CD-RISC; LOT-R; VIA-IS; BIPQ; MAC; PSS-14; CAE; RS-14; COPE-48,pss_6; tics_8; brief_cope_66; cd-risc_115; lot-r_116; via-is_118; bipq_143; mac_144; pss14_155; cae_156; rs14_162; cope48_167
Adaptación social,1,SASS,sass_213
ADAS-Cog,1,ADAS-Cog,adascog_172
adherencia terapéutica,6,IPAQ; MGL o MMAS-4; HLS-EU-Q16; SAHLSA-50; SEMCD-S; eHEALS,ipaq_141; mgl_o_mmas-4_142; hls-eu-q16_145; sahlsa-50_146; semcds_new1; eheals_new1
Adicciones conductuales,2,IAT; SOGS,iat_41; sogs_42
adicción,11,ASSIST; AUDIT; DAST-10; FTND; MALT; ISCA; EuropASI; SADQ; EIDA; OCDS; BWSQ,assist_38; audit_39; dast-10_40; ftnd_new1; malt_195; isca_196; europasi_197; sadq_198; eida_199; ocds_200; bwsq_208
ADRQL,1,ADRQL,adrql_217
AF-5,1,AF-5,af-5_85
afasia,2,BNT; TFV,bnt_130; tfv_131
afecto negativo,12,DASS-21; BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D; BADS; EROS; MADRS; GDS; CDS; QLDS,dass-21_5; bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17; bads_64; eros_65; madrs_178; gds_179; cds_180; qlds_216
afecto positivo,4,MLQ; SWLS; PWB; FS,mlq_90; swls_110; pwb_111; fs_112
Afecto positivo y negativo,1,PANAS,panas_161
"Afrontamiento (coping), 9 escalas clínicas",1,COPE-48,cope48_167
Afrontamiento interpersonal y asertividad,1,ISS,iss_new
Afrontamiento y resiliencia,9,Brief COPE; CD-RISC; LOT-R; VIA-IS; BIPQ; MAC; CAE; RS-14; COPE-48,brief_cope_66; cd-risc_115; lot-r_116; via-is_118; bipq_143; mac_144; cae_156; rs14_162; cope48_167
Agitación psicomotriz e impulsividad aguda,1,ABS,abs_new
agorafobia,14,STAI; BAI; GAD-7; ISRA; HADS; DASS-21; PSWQ; IUS-12; CSI; SIAS; SADS; SPIN; BSPS; BSA,stai_0; bai_1; gad-7_2; isra_3; hads_4; dass-21_5; pswq_52; ius-12_53; csi_new1; sias_152; sads_153; spin_188; bsps_189; bsa_190
agotamiento laboral,2,MBI; UWES,mbi_105; uwes_106
AGQ-R,1,AGQ-R,agq-r_92
Agresividad e ira,3,AQ; STAXI-2; RPQ,aq_29; staxi-2_30; rpq_31
Agresividad manifiesta observada,1,OAS,oas_177
"Agresividad, ira y violencia",10,AQ; STAXI-2; RPQ; PCL-R; SRP-IV; SCID-5-PD; HCR-20 v3; OAS; RV-Plutchik; BDHI,aq_29; staxi-2_30; rpq_31; pcl-r_32; srp-iv_33; scid-5-pd_34; hcr-20_v3_49; oas_177; rvplutchik_186; bdhi_194
agresión física,10,AQ; STAXI-2; RPQ; PCL-R; SRP-IV; SCID-5-PD; HCR-20 v3; OAS; RV-Plutchik; BDHI,aq_29; staxi-2_30; rpq_31; pcl-r_32; srp-iv_33; scid-5-pd_34; hcr-20_v3_49; oas_177; rvplutchik_186; bdhi_194
AIM-A,1,AIM-A,aim-a_219
AIMS,1,AIMS,aims_new
Alfabetización digital en salud,1,eHEALS,eheals_new1
Alfabetización en salud y relación con el sistema,2,HLS-EU-Q16; SAHLSA-50,hls-eu-q16_145; sahlsa-50_146
Alfabetización y conductas de salud,6,IPAQ; MGL o MMAS-4; HLS-EU-Q16; SAHLSA-50; SEMCD-S; eHEALS,ipaq_141; mgl_o_mmas-4_142; hls-eu-q16_145; sahlsa-50_146; semcds_new1; eheals_new1
alucinación,8,PDI-21; CAPE-42; PANSS; BPRS; SIPS; SOPS; SUMD; DAI,pdi-21_43; cape-42_44; panss_45; bprs_173; sips_174; sops_175; sumd_176; dai_193
Alzheimer,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
anhedonia,12,DASS-21; BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D; BADS; EROS; MADRS; GDS; CDS; QLDS,dass-21_5; bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17; bads_64; eros_65; madrs_178; gds_179; cds_180; qlds_216
Anorexia,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
Ansiedad ante la interaccion social directa,1,SIAS,sias_152
Ansiedad general (heteroaplicada),1,BSA,bsa_190
Ansiedad generalizada,1,Carroll-TAG,carroll-tag_new
Ansiedad psíquica y somática,1,HARS,hars_new
Ansiedad y fobia,13,STAI; BAI; GAD-7; ISRA; HADS; PSWQ; IUS-12; CSI; SIAS; SADS; SPIN; BSPS; BSA,stai_0; bai_1; gad-7_2; isra_3; hads_4; pswq_52; ius-12_53; csi_new1; sias_152; sads_153; spin_188; bsps_189; bsa_190
Ansiedad y miedo,5,STAI; BAI; GAD-7; ISRA; HADS,stai_0; bai_1; gad-7_2; isra_3; hads_4
Apego,1,ECR-R,ecr-r_69
apego ansioso,7,ECR-R; IDI; RSQ; IIP-32; RAS; CREM-P; RAS-H,ecr-r_69; idi_70; rsq_71; iip-32_72; ras_73; cremp_new1; ras-h_170
apego evitativo,7,ECR-R; IDI; RSQ; IIP-32; RAS; CREM-P; RAS-H,ecr-r_69; idi_70; rsq_71; iip-32_72; ras_73; cremp_new1; ras-h_170
Apego y relaciones interpersonales,7,ECR-R; IDI; RSQ; IIP-32; RAS; CREM-P; RAS-H,ecr-r_69; idi_70; rsq_71; iip-32_72; ras_73; cremp_new1; ras-h_170
APGAR,1,APGAR,apgar_109
Apoyo social percibido (familiar y de amistades),1,EAS,eas_157
Apoyo social y familia,9,UCLA-R; DJGLS; ISMI; EOD; MOS-SSS; FACES-IV; APGAR; EAS; SASS,ucla-r_74; djgls_75; ismi_98; eod_99; mos-sss_107; faces-iv_108; apgar_109; eas_157; sass_213
Apoyo social y Funcionamiento familiar,3,MOS-SSS; FACES-IV; APGAR,mos-sss_107; faces-iv_108; apgar_109
aptitud académica,2,CHTE; BASC-3,chte_103; basc-3_104
apuestas,2,IAT; SOGS,iat_41; sogs_42
AQ,1,AQ,aq_29
asertividad,7,ECR-R; IDI; RSQ; IIP-32; RAS; CREM-P; RAS-H,ecr-r_69; idi_70; rsq_71; iip-32_72; ras_73; cremp_new1; ras-h_170
ASEX,1,ASEX,asex_207
ASQ-15,1,ASQ-15,asq-15_new
ASSIST,1,ASSIST,assist_38
"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",2,d2-R; TMT,d2-r_121; tmt_122
atención dividida,2,d2-R; TMT,d2-r_121; tmt_122
atención plena,7,AAQ-II; CFI; CFQ; MEAQ; BEAQ; Psy-Flex; FFMQ-SF,aaq-ii_54; cfi_55; cfq_56; meaq_63; beaq_164; psyflex_166; ffmq-sf_168
Atención social,3,RMET; MAIA; Faux Pas Test,rmet_132; maia_133; faux_pas_test_134
atención sostenida,2,d2-R; TMT,d2-r_121; tmt_122
Atención y concentración,2,d2-R; TMT,d2-r_121; tmt_122
AUDIT,11,ASSIST; AUDIT; DAST-10; FTND; MALT; ISCA; EuropASI; SADQ; EIDA; OCDS; BWSQ,assist_38; audit_39; dast-10_40; ftnd_new1; malt_195; isca_196; europasi_197; sadq_198; eida_199; ocds_200; bwsq_208
Autocompasión y regulación afectiva (3 polaridades / 6 subescalas),1,SCS,scs_169
autoconcepto,9,AF-5; SCCS; EOM-EIS-2; PVQ; IMI; AGQ-R; MEIM; VIA; VQ,af-5_85; sccs_87; eom-eis-2_88; pvq_89; imi_91; agq-r_92; meim_95; via_96; vq_165
Autoconcepto y autoeficacia creativa,1,CREA-24,crea-24_new
autocuidado,6,IPAQ; MGL o MMAS-4; HLS-EU-Q16; SAHLSA-50; SEMCD-S; eHEALS,ipaq_141; mgl_o_mmas-4_142; hls-eu-q16_145; sahlsa-50_146; semcds_new1; eheals_new1
Autoeficacia,4,RSES; AF-5; GSE; GSE,rses_84; af-5_85; gse_86; gse_86
Autoeficacia/autocuidado en enfermedad crónica,1,SEMCD-S,semcds_new1
autoestima,9,RSES; SCCS; EOM-EIS-2; PVQ; IMI; AGQ-R; MEIM; VIA; VQ,rses_84; sccs_87; eom-eis-2_88; pvq_89; imi_91; agq-r_92; meim_95; via_96; vq_165
Autoestima y autoconcepto,3,RSES; AF-5; GSE,rses_84; af-5_85; gse_86
Autoimagen,7,RSES; AF-5; GSE; BSQ; MBA; EDI-2; BITE,rses_84; af-5_85; gse_86; bsq_new1; mba_new1; edi2_201; bite_202
autolesiones,5,C-SSRS; BSS; ISAS; ERS; RFL,c-ssrs_46; bss_47; isas_48; ers_147; rfl_185
Autolesiones no suicidas,1,ISAS,isas_48
autonomía,5,WHODAS 2.0; BARTHEL; Escala de Lawton; EEAG-GAF; SDI,whodas_2.0_100; indice_de_barth_101; escala_de_lawton_102; eeaggaf_211; sdi_212
Autonomía funcional y dependencia biológica,1,KATZ,katz_new
BADS,1,BADS,bads_64
BAI,1,BAI,bai_1
BARS,1,BARS,bars_new
BARTHEL,1,BARTHEL,indice_de_barth_101
BASC-3,1,BASC-3,basc-3_104
BDHI,1,BDHI,bdhi_194
BDI-II,1,BDI-II,bdi-ii_13
BEAQ,1,BEAQ,beaq_164
BFI-2,1,BFI-2,bfi-2_77
BHS,1,BHS,bhs_new
Bienestar,4,SF-36; WHOQOL-BREF; QLS; CSCV,sf-36_113; whoqol-bref_114; qls_214; cscv_215
Bienestar social y ajuste comunitario,1,SWBS,swbs_new
"Bienestar subjetivo, Bienestar psicológico y Florecimiento",3,SWLS; PWB; FS,swls_110; pwb_111; fs_112
Bienestar y satisfacción vital,4,MLQ; SWLS; PWB; FS,mlq_90; swls_110; pwb_111; fs_112
Bipolar disorder,4,MDQ; YMRS; EVMAC; MAS,mdq_181; ymrs_182; evmac_183; mas_184
Bipolaridad y manía,4,MDQ; YMRS; EVMAC; MAS,mdq_181; ymrs_182; evmac_183; mas_184
BIPQ,1,BIPQ,bipq_143
BIS-11,1,BIS-11,bis-11_26
BIS/BAS,1,BIS/BAS,bis_68
BITE,1,BITE,bite_202
BNT,1,BNT,bnt_130
BPI,1,BPI,bpi_138
BPRS,1,BPRS,bprs_173
Brief COPE,1,Brief COPE,brief_cope_66
BRIEF-2,1,BRIEF-2,brief-2_128
BSA,1,BSA,bsa_190
BSDS,1,BSDS,bsds_new
BSL-23,1,BSL-23,bsl23_149
BSPS,1,BSPS,bsps_189
BSQ,1,BSQ,bsq_new1
BSS,1,BSS,bss_47
Bulimia,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
BWSQ,1,BWSQ,bwsq_208
Búsqueda de recompensa,1,BIS/BAS,bis_68
C-SSRS,1,C-SSRS,c-ssrs_46
CAE,1,CAE,cae_156
CAGE,1,CAGE,cage_new
Calidad de descanso e insomnio agudo,1,GSQS,gsqs_new
Calidad de vida,4,SF-36; WHOQOL-BREF; QLS; CSCV,sf-36_113; whoqol-bref_114; qls_214; cscv_215
Calidad de vida en demencia,1,ADRQL,adrql_217
Calidad de vida en depresión,1,QLDS,qlds_216
Calidad de vida en esquizofrenia,1,QLS,qls_214
Calidad de vida relacionada con la salud,1,EQ-5D,eq-5d_new
Calidad de vida y satisfacción vital,1,Q-LES-Q,q-les-q_new
Calidad del sueño,1,COS,cos_203
Cambio global en TEPT,1,DGRP,dgrp_192
CAPE-42,1,CAPE-42,cape-42_44
CAPS-5,1,CAPS-5,caps-5_10
Carroll-TAG,1,Carroll-TAG,carroll-tag_new
CBCL,1,CBCL,cbcl_35
CD-RISC,1,CD-RISC,cd-risc_115
CDS,1,CDS,cds_180
CERQ,1,CERQ,cerq_60
CES-D,1,CES-D,ces-d_15
CFI,1,CFI,cfi_55
CFQ,1,CFQ,cfq_56
CFQ-Fallos,1,CFQ-Fallos,cfq_new1
CFSS,1,CFSS,cfss_new
CGI,1,CGI,cgi_new
CHTE,1,CHTE,chte_103
Ciclotimia,4,MDQ; YMRS; EVMAC; MAS,mdq_181; ymrs_182; evmac_183; mas_184
Claridad del self,1,SCCS,sccs_87
Claridad emocional y Alexitimia,1,TAS-20,tas-20_62
Cognición social,3,RMET; MAIA; Faux Pas Test,rmet_132; maia_133; faux_pas_test_134
Cognición Social e Interocepción,3,RMET; MAIA; Faux Pas Test,rmet_132; maia_133; faux_pas_test_134
Cognitive screening,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
"Comprensión, Expresión y Fluidez Verbal",2,BNT; TFV,bnt_130; tfv_131
comprobación,5,Y-BOCS; OCI-R; PI-WSUR; DOCS; IP,y-bocs_18; oci-r_19; pi-wsur_20; docs_21; ip_148
Comunicación interpersonal y Asertividad,2,IIP-32; RAS,iip-32_72; ras_73
Comunicación social,3,RMET; MAIA; Faux Pas Test,rmet_132; maia_133; faux_pas_test_134
concentración,2,d2-R; TMT,d2-r_121; tmt_122
Conciencia emocional,1,LEAS,leas_61
conducta agresiva,9,BIS-11; UPPS-P; DII; CBCL; SDQ; DBD; BIS/BAS; CUBI-18; EI-Plutchik,bis-11_26; upps-p_27; dii_28; cbcl_35; sdq_36; dbd_37; bis_68; cubi18_150; eiplutchik_187
Conducta alimentaria,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
Conducta alimentaria e imagen corporal,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
Conducta alimentaria patológica,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
conducta antisocial,12,BIS-11; UPPS-P; DII; PCL-R; SRP-IV; SCID-5-PD; CBCL; SDQ; DBD; BIS/BAS; CUBI-18; EI-Plutchik,bis-11_26; upps-p_27; dii_28; pcl-r_32; srp-iv_33; scid-5-pd_34; cbcl_35; sdq_36; dbd_37; bis_68; cubi18_150; eiplutchik_187
conducta disruptiva,12,BIS-11; UPPS-P; DII; CBCL; CBCL; SDQ; SDQ; DBD; DBD; BIS/BAS; CUBI-18; EI-Plutchik,bis-11_26; upps-p_27; dii_28; cbcl_35; cbcl_35; sdq_36; sdq_36; dbd_37; dbd_37; bis_68; cubi18_150; eiplutchik_187
conducta inadecuada,9,BIS-11; UPPS-P; DII; CBCL; SDQ; DBD; BIS/BAS; CUBI-18; EI-Plutchik,bis-11_26; upps-p_27; dii_28; cbcl_35; sdq_36; dbd_37; bis_68; cubi18_150; eiplutchik_187
conducta violenta,10,AQ; STAXI-2; RPQ; PCL-R; SRP-IV; SCID-5-PD; HCR-20 v3; OAS; RV-Plutchik; BDHI,aq_29; staxi-2_30; rpq_31; pcl-r_32; srp-iv_33; scid-5-pd_34; hcr-20_v3_49; oas_177; rvplutchik_186; bdhi_194
conductas de salud,8,IPAQ; IPAQ; MGL o MMAS-4; MGL o MMAS-4; HLS-EU-Q16; SAHLSA-50; SEMCD-S; eHEALS,ipaq_141; ipaq_141; mgl_o_mmas-4_142; mgl_o_mmas-4_142; hls-eu-q16_145; sahlsa-50_146; semcds_new1; eheals_new1
Consumo de alcohol,1,ISCA,isca_196
Consumo de alcohol y adicciones,1,CAGE,cage_new
consumo problemático,11,ASSIST; AUDIT; DAST-10; FTND; MALT; ISCA; EuropASI; SADQ; EIDA; OCDS; BWSQ,assist_38; audit_39; dast-10_40; ftnd_new1; malt_195; isca_196; europasi_197; sadq_198; eida_199; ocds_200; bwsq_208
contaminación,5,Y-BOCS; OCI-R; PI-WSUR; DOCS; IP,y-bocs_18; oci-r_19; pi-wsur_20; docs_21; ip_148
control de la atención,7,WCST; Stroop Test; IGT; BRIEF-2; IFS; DEX-Sp; EFECO,wcst_125; stroop_test_126; igt_127; brief-2_128; ifs_129; dex-sp_new1; efeco_new1
control emocional,10,DERS; CERQ; LEAS; TAS-20; ERSQ; ERQ; PANAS; TMMS-24; SCS; AIM-A,ders_59; cerq_60; leas_61; tas-20_62; ersq_new1; erq_158; panas_161; tmms24_163; scs_169; aim-a_219
COPE-48,1,COPE-48,cope48_167
coping,12,PSS; TICS; Brief COPE; CD-RISC; LOT-R; VIA-IS; BIPQ; MAC; PSS-14; CAE; RS-14; COPE-48,pss_6; tics_8; brief_cope_66; cd-risc_115; lot-r_116; via-is_118; bipq_143; mac_144; pss14_155; cae_156; rs14_162; cope48_167
COS,1,COS,cos_203
Craving/compulsión por alcohol,1,OCDS,ocds_200
CREA-24,1,CREA-24,crea-24_new
creencias centrales,3,RRS; MCQ-30; YSQ-S3,rrs_51; mcq-30_57; ysq-s3_58
CREM-P,1,CREM-P,cremp_new1
Cribado cognitivo,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
Cribado cognitivo global,1,MEC,mec_171
Cribado Cognitivo Global (Estado Mental),2,MMSE; MoCA,mmse_119; moca_120
Cribado cognitivo y demencias,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
Cribado de espectro bipolar,1,MDQ,mdq_181
Cribado multitrastorno de ansiedad,1,ASQ-15,asq-15_new
crisis de angustia,14,STAI; BAI; GAD-7; ISRA; HADS; DASS-21; PSWQ; IUS-12; CSI; SIAS; SADS; SPIN; BSPS; BSA,stai_0; bai_1; gad-7_2; isra_3; hads_4; dass-21_5; pswq_52; ius-12_53; csi_new1; sias_152; sads_153; spin_188; bsps_189; bsa_190
Crisis de angustia y pánico,1,Diario-Panico,diario-panico_new
Criterios de Laxitud Articular del Hospital del Mar (Bulbena),1,Laxitud-HdM,laxitud-hdm_new
Cronotipo/ritmo circadiano,1,MEQ-SA,meqsa_new1
CSCV,1,CSCV,cscv_215
CSFQ,1,CSFQ,csfq_204
CSI,1,CSI,csi_new1
CTQ-SF,1,CTQ-SF,ctq-sf_94
CUBI-18,1,CUBI-18,cubi18_150
Cuestionario CAGE para Detección de Alcoholismo,1,CAGE,cage_new
Cuestionario de Calidad de Vida: Satisfacción y Placer de Endicott,1,Q-LES-Q,q-les-q_new
Cuestionario de Estilos de Humor (HSQ-24),1,HSQ-24,hsq-24_new
Cuestionario de Salud EuroQoL-5D,1,EQ-5D,eq-5d_new
Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),1,ASQ-15,asq-15_new
