tema,ejes_asociados,total_instrumentos,sinonimos_busqueda,id_test,sigla_test,nombre_test,eje_test,constructo,tipo_instrumento,acceso
Adicciones conductuales,Eje I,2,apuestas; juego patológico; ludopatía; uso de internet,iat_41,IAT,Test de Adicción a Internet,Eje I,Adicciones conductuales,Autoinforme,abierto
Adicciones conductuales,Eje I,2,apuestas; juego patológico; ludopatía; uso de internet,sogs_42,SOGS,Prueba de Detección de Juego Patológico de South Oaks,Eje I,Adicciones conductuales,Observacional / Registro conductual,abierto
Afrontamiento interpersonal y asertividad,Eje II,1,ISS; Inventario de Situaciones Sociales (ISS),iss_new,ISS,Inventario de Situaciones Sociales (ISS),Eje II,Afrontamiento interpersonal y asertividad,Autoinforme,abierto
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,brief_cope_66,Brief COPE,Inventario Breve de Afrontamiento,Eje II,Exposición y afrontamiento,Autoinforme,abierto
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,cd-risc_115,CD-RISC,Escala de Resiliencia de Connor-Davidson,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",Autoinforme,comercial
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,lot-r_116,LOT-R,Test de Orientación Vital Revisado (Optimismo),Eje III,"Resiliencia, Afrontamiento y Fortalezas",Autoinforme,abierto
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,via-is_118,VIA-IS,Inventario VIA de Fortalezas Personales,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",Autoinforme,abierto
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,bipq_143,BIPQ,Cuestionario Breve de Percepción de Enfermedad (incluye IPQ-R como versión anidada),Eje VI,Enfermedad médica y afrontamiento,Autoinforme,abierto
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,mac_144,MAC,Escala de Ajuste Mental al Cáncer,Eje VI,Enfermedad médica y afrontamiento,Autoinforme,comercial
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,cae_156,CAE,Cuestionario de Afrontamiento del Estres,Eje II,Estrategias de afrontamiento del estres,Autoinforme,academico
