modalidad,total_instrumentos,id_test,sigla_test,nombre_test,eje_test,constructo,tiempo_administracion,acceso
Autoinforme,196,stai_0,STAI,Inventario de Ansiedad Estado-Rasgo,Eje I,Ansiedad y miedo,12 a 18 minutos (40 ítems en total; aprox. 7 minutos por subescala),comercial
Autoinforme,196,bai_1,BAI,Inventario de Ansiedad de Beck,Eje I,Ansiedad y miedo,5 a 10 minutos en autoadministración.,comercial
Autoinforme,196,gad-7_2,GAD-7,Escala de Trastorno de Ansiedad Generalizada - 7,Eje I,Ansiedad y miedo,1 a 2 minutos en autoadministración; muy ágil para triaje clínico.,abierto
Autoinforme,196,isra_3,ISRA,Inventario de Situaciones y Respuestas de Ansiedad,Eje I,Ansiedad y miedo,Forma completa: 30 a 50 minutos; Forma abreviada ISRA-B: 15 minutos,comercial
Autoinforme,196,hads_4,HADS,Escala de Ansiedad y Depresión Hospitalaria,Eje I,Ansiedad y miedo,4 a 6 minutos (14 reactivos tipo Likert de 4 opciones),comercial
Autoinforme,196,dass-21_5,DASS-21,"Escalas de Depresión, Ansiedad y Estrés - 21",Eje I,"Depresión, ansiedad y estrés",8 a 12 minutos (autoadministrado o aplicado en entrevista clínica guiada).,abierto
Autoinforme,196,pss_6,PSS,Escala de Estrés Percibido,Eje I,Estrés psicológico,3 a 5 minutos.,abierto
Autoinforme,196,tics_8,TICS,Inventario de Estrés Crónico de Trier,Eje I,Estrés psicológico,10 a 15 minutos (versión estándar de 57 ítems) o 3 a 5 min (escala de cribado SSCS de 12 ítems),comercial
Autoinforme,196,pcl-5_9,PCL-5,Lista de Chequeo del TEPT para el DSM-5,Eje I,Trauma y estrés postraumático,5 a 10 minutos.,abierto
Autoinforme,196,ies-r_11,IES-R,Escala de Impacto del Evento Revisada,Eje I,Trauma y estrés postraumático,6 a 10 minutos.,abierto
Autoinforme,196,dts_12,DTS,Escala de Trauma de Davidson,Eje I,Trauma y estrés postraumático,8 a 12 minutos (17 reactivos dobles: 34 valoraciones),comercial
Autoinforme,196,bdi-ii_13,BDI-II,Inventario de Depresión de Beck - II,Eje I,Depresión y anhedonia,5 a 10 minutos (autoadministrado o mediante lectura asistida en deterioro motor),comercial
Autoinforme,196,phq-9_14,PHQ-9,Cuestionario de Salud del Paciente - 9,Eje I,Depresión y anhedonia,2 a 3 minutos en autoadministración; 3 a 5 minutos asistido.,abierto
